1 0.079270 0.0677150.081551 0.054817
1 0.305104 0.185611 0.105503 0.134220
2 0.308668 0.286376 0.115483 0.056026
1 0.293271 0.450625 0.097234 0.115276
2 0.320217 0.551189 0.146564 0.079403
2 0.310664 0.868601 0.129170 0.078194
1 0.297263 0.759573 0.098945 0.119710
1 0.097947 0.663845 0.098375 0.049174
1 0.090961 0.349254 0.091816 0.056026
1 0.624038 0.570738 0.117194 0.058041
1 0.791560 0.581016 0.103792 0.056026
1 0.913887 0.593712 0.077559 0.048368
1 0.553892 0.976824 0.094383 0.041516
1 0.059595 0.967352 0.091246 0.040306
1 0.621186 0.065296 0.122897 0.048368
